outer_fold,feature_index,feature,document_frequency,treated_count,control_count,raw_moment,standard_error,z_score,tail_score,source_sign_agreement,subsample_sign_agreement,subsample_top_pool_frequency,tail_sign_agreement,eligible,ranking_score,rank
1,11782,extra-axial structures,149,83,66,9.567334102833983e-05,3.101782167261401e-05,3.084463571882965,0.2899534,1.0,1.0,0.6333333333333333,1.0,True,2.2362360896151494,94
1,23035,post-operative changes,167,85,82,-0.00013707639096815802,4.298542859315914e-05,-3.1889036693232566,-0.37028253,1.0,1.0,0.6,1.0,True,2.2322325685262796,95
1,22722,plan and,224,121,103,-9.616758265836958e-05,3.2322984278291135e-05,-2.9752074199088714,-0.26144004,1.0,1.0,0.6666666666666666,1.0,True,2.2314055649316535,96
1,26018,spirometry,347,177,170,-9.371814076895103e-05,3.271610835519481e-05,-2.8645870637016047,-0.3009028,1.0,1.0,0.7,1.0,True,2.220054974368743,97
1,26727,surveillance for,120,67,53,-8.962628728927113e-05,2.841326191679083e-05,-3.154382187858073,-0.3951475,1.0,1.0,0.6,1.0,True,2.208067531500651,98
1,26810,swi.,62,33,29,7.793004614618623e-05,2.5659347904032304e-05,3.037101583315752,0.47100562,1.0,1.0,0.6333333333333333,1.0,True,2.20189864790392,99
1,21072,on swi.,62,33,29,7.793004614618623e-05,2.5659347904032304e-05,3.037101583315752,0.47100562,1.0,1.0,0.6333333333333333,1.0,True,2.20189864790392,100
1,16345,levetiracetam,37,21,16,0.00020665885211258866,6.812011051079814e-05,3.0337421733898964,0.36388522,1.0,1.0,0.6333333333333333,1.0,True,2.199463075707675,101
1,19433,no brain,107,58,49,-0.00010457367793826034,3.449253429487095e-05,-3.031777167901823,-0.3527166,1.0,1.0,0.6333333333333333,1.0,True,2.1980384467288214,102
1,23849,ra,231,135,96,-8.989111468366457e-05,2.970517167857035e-05,-3.0261099197252928,-0.24027611,1.0,1.0,0.6333333333333333,1.0,True,2.1939296918008373,103
1,27603,thickening or effusion.,78,40,38,-8.083324538145755e-05,2.581923683292399e-05,-3.1307372059262875,-0.33952674,1.0,1.0,0.6,1.0,True,2.191516044148401,104
1,29661,with imaging,105,55,50,-8.347127744885073e-05,2.7856381310971173e-05,-2.9964867481181328,-0.34264123,1.0,1.0,0.6333333333333333,1.0,True,2.172452892385646,105
1,19644,no lymphadenopathy. -,404,204,200,9.178526074217479e-05,2.9617879101797615e-05,3.0989815451236686,0.2720794,1.0,1.0,0.6,1.0,True,2.169287081586568,106
1,9493,ct obtained for,114,52,62,-8.686386493950768e-05,2.90735172781595e-05,-2.987731553373531,-0.21848908,1.0,1.0,0.6333333333333333,1.0,True,2.16610537619581,107
1,24105,recent imaging.,70,34,36,8.075917609377628e-05,2.613892076998308e-05,3.08961402058026,0.30375725,1.0,1.0,0.6,1.0,True,2.1627298144061817,108
1,13552,health 40,60,26,34,-8.108196094417924e-05,2.7186653192297926e-05,-2.982417893466565,-0.26573384,1.0,1.0,0.6333333333333333,1.0,True,2.16225297276326,109
