topic_index,variable,variable_role,association_kind,association,association_strength,topic_rank
80,true_egfr_mutation_status,effect_modifier,categorical_eta,0.07009763285880989,0.07009763285880989,61
84,true_egfr_mutation_status,effect_modifier,categorical_eta,0.06713232728938842,0.06713232728938842,90
10,true_egfr_mutation_status,effect_modifier,categorical_eta,0.06620087850140545,0.06620087850140545,42
46,true_egfr_mutation_status,effect_modifier,categorical_eta,0.06483378494658212,0.06483378494658212,35
82,true_egfr_mutation_status,effect_modifier,categorical_eta,0.06367121798418804,0.06367121798418804,14
65,true_egfr_mutation_status,effect_modifier,categorical_eta,0.06359865667564779,0.06359865667564779,37
63,true_egfr_mutation_status,effect_modifier,categorical_eta,0.06349458466726858,0.06349458466726858,1
42,true_egfr_mutation_status,effect_modifier,categorical_eta,0.06265325758601684,0.06265325758601684,62
93,true_egfr_mutation_status,effect_modifier,categorical_eta,0.06160181668456839,0.06160181668456839,68
75,true_egfr_mutation_status,effect_modifier,categorical_eta,0.06069451612536177,0.06069451612536177,16
34,true_egfr_mutation_status,effect_modifier,categorical_eta,0.06065544846601413,0.06065544846601413,75
55,true_egfr_mutation_status,effect_modifier,categorical_eta,0.06064931672526673,0.06064931672526673,89
16,true_egfr_mutation_status,effect_modifier,categorical_eta,0.06053141374062946,0.06053141374062946,21
44,true_egfr_mutation_status,effect_modifier,categorical_eta,0.056937716212911826,0.056937716212911826,5
33,true_egfr_mutation_status,effect_modifier,categorical_eta,0.056145248120289176,0.056145248120289176,47
85,true_egfr_mutation_status,effect_modifier,categorical_eta,0.055416853108194275,0.055416853108194275,57
3,true_egfr_mutation_status,effect_modifier,categorical_eta,0.055140762492324726,0.055140762492324726,98
99,true_egfr_mutation_status,effect_modifier,categorical_eta,0.054408186610249494,0.054408186610249494,78
59,true_egfr_mutation_status,effect_modifier,categorical_eta,0.052783239021919205,0.052783239021919205,2
94,true_egfr_mutation_status,effect_modifier,categorical_eta,0.052630195215438456,0.052630195215438456,93
96,true_egfr_mutation_status,effect_modifier,categorical_eta,0.05248342951946615,0.05248342951946615,4
69,true_egfr_mutation_status,effect_modifier,categorical_eta,0.051680633443481706,0.051680633443481706,40
15,true_egfr_mutation_status,effect_modifier,categorical_eta,0.051425606701974116,0.051425606701974116,13
76,true_egfr_mutation_status,effect_modifier,categorical_eta,0.050796883978332985,0.050796883978332985,100
9,true_egfr_mutation_status,effect_modifier,categorical_eta,0.04876311305139012,0.04876311305139012,46
40,true_egfr_mutation_status,effect_modifier,categorical_eta,0.048338507551912574,0.048338507551912574,33
52,true_egfr_mutation_status,effect_modifier,categorical_eta,0.048249561572795904,0.048249561572795904,31
58,true_egfr_mutation_status,effect_modifier,categorical_eta,0.047350447499055266,0.047350447499055266,97
47,true_egfr_mutation_status,effect_modifier,categorical_eta,0.046912832802365814,0.046912832802365814,54
71,true_egfr_mutation_status,effect_modifier,categorical_eta,0.044967800214809506,0.044967800214809506,7
5,true_egfr_mutation_status,effect_modifier,categorical_eta,0.04456121287690152,0.04456121287690152,43
30,true_egfr_mutation_status,effect_modifier,categorical_eta,0.04371215852200489,0.04371215852200489,71
17,true_egfr_mutation_status,effect_modifier,categorical_eta,0.04278800919217432,0.04278800919217432,63
88,true_egfr_mutation_status,effect_modifier,categorical_eta,0.04239957833175608,0.04239957833175608,70
95,true_egfr_mutation_status,effect_modifier,categorical_eta,0.04169762090150093,0.04169762090150093,27
27,true_egfr_mutation_status,effect_modifier,categorical_eta,0.04066578717195288,0.04066578717195288,22
74,true_egfr_mutation_status,effect_modifier,categorical_eta,0.04061617729447347,0.04061617729447347,83
7,true_egfr_mutation_status,effect_modifier,categorical_eta,0.0399014666703212,0.0399014666703212,67
57,true_egfr_mutation_status,effect_modifier,categorical_eta,0.03840675738967282,0.03840675738967282,18
29,true_egfr_mutation_status,effect_modifier,categorical_eta,0.03762610662685525,0.03762610662685525,49
