n,true_ate,predicted_ate,ate_bias,pehe,ite_mae,ite_r2,ite_pearson,ite_spearman,predicted_ite_sd,true_ite_sd,high_pdl1_auroc,pdl1_high_vs_low_true_gap,pdl1_high_vs_low_predicted_gap,pdl1_gap_fraction_recovered,oracle_row_ite_interval_coverage,mean_interval_width,r_loss,constant_effect_r_loss,r_loss_improvement_vs_constant,outer_fold,top_k,n_train,n_test,vocabulary_size,n_nuisance_stability_sources,nuisance_source,nuisance_treatment_auroc,nuisance_treatment_brier,nuisance_outcome_auroc,nuisance_outcome_brier,train_constant_effect
200,0.0636716475772448,0.10758737959834505,0.043915732021100246,0.18000402590895803,0.14406284323576746,-0.23690232523577603,0.016082393451516398,-0.03195829895747394,0.06822593707951753,0.16225682559302082,0.5422610829881884,0.3037438706177757,0.018742159808187983,0.0617038288544518,0.595,0.30823872163893273,0.17587262740028908,0.17475108743822765,-0.0011215399620614352,1,100,800,200,30000,7,crossfit_logistic_stack,0.8315509693558474,0.16680605487075403,0.8252986132199616,0.1679742400210434,0.10701546657063286
200,0.041966762874018515,0.14091077002318678,0.09894400714916826,0.18911760332930888,0.15669103212417215,-0.5553004198926492,0.20315751266199644,0.08576764419110477,0.09372233290322242,0.15202439034601797,0.7829272177098264,0.25949169728145793,0.10894760933359632,0.41985007796001345,0.61,0.35006538096227885,0.14690345195952953,0.14834178154795524,0.001438329588425713,2,100,800,200,30000,7,crossfit_logistic_stack,0.8370712071207121,0.16350340538500213,0.8084986302759741,0.1757593307294212,0.13562594781395462
200,0.0707176936638699,0.09881539829432925,0.028097704630459353,0.17798215647711788,0.13752348836549774,-0.17517470592653783,0.13892702141768215,0.022568064201605044,0.08976283365677315,0.16459388887860382,0.6309333333333333,0.2715284187719959,0.050772374780141113,0.18698733270632342,0.64,0.326794771264166,0.17033191412518817,0.16547954797569442,-0.0048523661494937476,3,100,800,200,30000,7,crossfit_logistic_stack,0.8417481203007519,0.15996173122504395,0.8211485881962823,0.1720621112360378,0.1034685818937368
200,0.06681810834279628,0.1047450685036368,0.03792696016084052,0.18032998053067426,0.14262370889839593,-0.14945164045438042,0.09136784164039131,-0.03512487812195305,0.07055205524835087,0.16862076031577503,0.5845161290322581,0.29706086228890444,0.03350955114057699,0.11280365539364628,0.625,0.3072239185147658,0.18670940297027733,0.1857039218144692,-0.001005481155808119,4,100,800,200,30000,7,crossfit_logistic_stack,0.8378474763969443,0.16133085561468352,0.8330492424242425,0.16562428652517816,0.11771293633611368
200,0.07054501733523426,0.16277167624935057,0.09222665891411631,0.1953353339527852,0.1679852300099621,-0.3836532319341659,0.1765613891867699,0.12057901447536189,0.08369212406569734,0.16647753550521022,0.6882284382284382,0.3039826457662299,0.06695708477996332,0.22026614253319893,0.475,0.31309844038772194,0.1714343227784304,0.1726423881264772,0.001208065348046794,5,100,800,200,30000,7,crossfit_logistic_stack,0.840168776371308,0.16183759420163946,0.821565779462899,0.17192935041756136,0.16366176595345236
200,0.0636716475772448,0.11142592804726138,0.04775428047001658,0.176527963974751,0.14340524179314607,-0.18959188624627488,0.025428090523509937,0.027435685892147305,0.056246224013336524,0.16225682559302082,0.5646571560055222,0.3037438706177757,0.01187636679733746,0.03909993894916288,0.54,0.27107431838393714,0.17684681566814406,0.17475108743822765,-0.0020957282299164104,1,200,800,200,30000,7,crossfit_logistic_stack,0.8315509693558474,0.16680605487075403,0.8252986132199616,0.1679742400210434,0.10701546657063286
200,0.041966762874018515,0.13854669929723237,0.09657993642321386,0.1831094533878119,0.15597413407471383,-0.4580482994818451,0.15645630231001548,0.00016500412510312763,0.0659434715617971,0.15202439034601797,0.7138079311992356,0.25949169728145793,0.06669905641042904,0.25703734304101394,0.495,0.27904138641515014,0.14551866616684475,0.14834178154795524,0.0028231153811104914,2,200,800,200,30000,7,crossfit_logistic_stack,0.8370712071207121,0.16350340538500213,0.8084986302759741,0.1757593307294212,0.13562594781395462
200,0.0707176936638699,0.10223942458181379,0.031521730917943885,0.16601529796907052,0.13115560541269786,-0.022458582524761406,0.22308901379824073,0.08602265056626417,0.06767240246484964,0.16459388887860382,0.6569333333333333,0.2715284187719959,0.04323755131492943,0.15923766473680337,0.675,0.33379404866128626,0.16650811908340493,0.16547954797569442,-0.001028571107710513,3,200,800,200,30000,7,crossfit_logistic_stack,0.8417481203007519,0.15996173122504395,0.8211485881962823,0.1720621112360378,0.1034685818937368
200,0.06681810834279628,0.1192002310351519,0.05238212269235562,0.1816377830238924,0.14940569477411078,-0.16618437372743933,0.0688384420689924,-0.005032625815645392,0.05745707012852875,0.16862076031577503,0.6048745519713262,0.29706086228890444,0.02813430408728014,0.09470888851025526,0.545,0.2963211557951776,0.18655763906262984,0.1857039218144692,-0.0008537172481606348,4,200,800,200,30000,7,crossfit_logistic_stack,0.8378474763969443,0.16133085561468352,0.8330492424242425,0.16562428652517816,0.11771293633611368
200,0.07054501733523426,0.15812965040086766,0.0875846330656334,0.19418924453489542,0.16740471438987697,-0.3674642696220056,0.07997325453232804,-0.015688892222305562,0.06480964890284736,0.16647753550521022,0.6368006993006993,0.3039826457662299,0.04542640781079768,0.1494375038953102,0.465,0.30501077223159345,0.17007168577252824,0.1726423881264772,0.0025707023539489615,5,200,800,200,30000,7,crossfit_logistic_stack,0.840168776371308,0.16183759420163946,0.821565779462899,0.17192935041756136,0.16366176595345236
